"2016-05-15 06:23:08","06.22 wib lalin seputaran sp prambanan terpantau lancar https://t.co/dYmqlYWiLh","new"
"2016-05-15 06:23:36","06.23 wib lalin seputaran sp bandara terpantau lancar https://t.co/RAIhCe7RN0","new"
"2016-05-15 06:24:24","ATCS_DIY : 06.22 wib lalin seputaran sp prambanan terpantau lancar … https://t.co/QcSEIiD3vE) https://t.co/sddWnzYXZW","retweet"
"2016-05-15 06:24:26","ATCS_DIY : 06.23 wib lalin seputaran sp bandara terpantau lancar https://t.co/tFsUNWEmho … https://t.co/dYJqnKcDH6) https://t.co/rHImWILZsK","retweet"
"2016-05-15 06:25:04","06.24 wib kondisi lali seputaran sp uin terpantau lancar https://t.co/rhUVRcRMwP","new"
"2016-05-15 06:25:48","06.23 wib lalin seputaran sp bandara terpantau lancar https://t.co/63tMBl7xY0 l @ATCS_DIY","retweet"
"2016-05-15 06:26:10","06.25 wib lalin seputaran sp demangan terpantau lancar https://t.co/F30wY9FDcp","new"
"2016-05-15 06:27:00","06.26 wib lalin seputaran sp gramedia terpantau lancar https://t.co/lExBJIlfME","new"
"2016-05-15 06:28:26","06.28 wib lalin seputaran sp tugu terpantau lancar https://t.co/S1lEnrLV1R","new"
"2016-05-15 06:29:08","06.29 lalin seputaran sp seturan terpantau lancar https://t.co/SjjAvtXATb","new"
"2016-05-15 06:30:32","06.30 wib lalin seputaran sp kentungan terpantau lancar https://t.co/8cGRKr68xQ","new"
"2016-05-15 06:32:33","06.32 wib lalin seputaran sp blok o terpantau lancar https://t.co/BC4dD5jaX7","new"
"2016-05-15 06:33:00","06.33 wib lalin seputara sp sgm terpantau lancar https://t.co/Ixe8JAnJrJ","new"
"2016-05-15 06:33:52","06.34 ada acara car freeday di ruas jl.malioboro.lalin seputaran sp km 0 terpantau lancar https://t.co/EtgqArP2ml","new"
"2016-05-15 06:34:45","RT @ATCS_DIY: 06.33 wib lalin seputara sp sgm terpantau lancar https://t.co/Ixe8JAnJrJ","retweet"
"2016-05-15 06:34:51","RT @ATCS_DIY: 06.34 ada acara car freeday di ruas jl.malioboro.lalin seputaran sp km 0 terpantau lancar https://t.co/EtgqArP2ml","retweet"
"2016-05-15 06:35:10","RT @ATCS_DIY: 06.30 wib lalin seputaran sp kentungan terpantau lancar https://t.co/8cGRKr68xQ","retweet"
"2016-05-15 06:35:25","06.35 wib lalin seputaran sp sedayu terpantau lancar https://t.co/oMlBwA3hRc","new"
"2016-05-15 06:39:02","ATCS_DIY : 06.24 wib kondisi lali seputaran sp uin terpantau lancar … https://t.co/bR2z5oQteg) https://t.co/hDaNSrH9xv","retweet"
"2016-05-15 06:39:05","ATCS_DIY : 06.25 wib lalin seputaran sp demangan terpantau lancar https://t.co/FjGMeKflWY… https://t.co/kUZaW8uTvr) https://t.co/vofC3rSGUD","retweet"
"2016-05-15 06:39:08","ATCS_DIY : 06.26 wib lalin seputaran sp gramedia terpantau lancar https://t.co/isbHQylqsD… https://t.co/EZzbIAEyUZ) https://t.co/AQ3jnASIT4","retweet"
"2016-05-15 06:39:11","ATCS_DIY : 06.28 wib lalin seputaran sp tugu terpantau lancar https://t.co/JR4pD9GIvm (vi… https://t.co/CNR5w6O3JF) https://t.co/0ujS0ZtcO2","retweet"
"2016-05-15 06:39:14","ATCS_DIY : 06.29 lalin seputaran sp seturan terpantau lancar https://t.co/FXjqyQrcSB (via… https://t.co/M5xqZiSqYT) https://t.co/1ShfYhfb71","retweet"
"2016-05-15 06:39:17","ATCS_DIY : 06.30 wib lalin seputaran sp kentungan terpantau lancar … https://t.co/4zG7ewfTYc) https://t.co/gU79hrUzZd","retweet"
"2016-05-15 06:39:20","ATCS_DIY : 06.32 wib lalin seputaran sp blok o terpantau lancar https://t.co/gZK2H2Asy2 (… https://t.co/fhMis2TQ78) https://t.co/LFMig2pebo","retweet"
"2016-05-15 06:39:23","ATCS_DIY : 06.33 wib lalin seputara sp sgm terpantau lancar https://t.co/XiVMpWHBDc (via … https://t.co/j90F35gcyk) https://t.co/AiNd7QuPbd","retweet"
